"","...1","Tissue","Total","Organ_Count","Tissue_Count","Split","Model"
"71",71,"choroid plexus, fallopian tube, lung, salivary gland",1,71,"71-Tissue enhanced: choroid plexus, fallopian tube, lung, salivary gland","60%-40%","Deep"
"72",72,"choroid plexus, ovary",1,72,"72-Tissue enhanced: choroid plexus, ovary","60%-40%","Deep"
"73",73,"choroid plexus, retina, skeletal muscle, tongue",1,73,"73-Tissue enhanced: choroid plexus, retina, skeletal muscle, tongue","60%-40%","Deep"
"74",74,"endometrium 1",1,74,"74-Tissue enhanced: endometrium 1","60%-40%","Deep"
"75",75,"endometrium 1, gallbladder, lymphoid tissue, smooth muscle",1,75,"75-Tissue enhanced: endometrium 1, gallbladder, lymphoid tissue, smooth muscle","60%-40%","Deep"
"76",76,"endometrium 1, seminal vesicle, smooth muscle",1,76,"76-Tissue enhanced: endometrium 1, seminal vesicle, smooth muscle","60%-40%","Deep"
"77",77,"endometrium 1, skeletal muscle",1,77,"77-Tissue enhanced: endometrium 1, skeletal muscle","60%-40%","Deep"
"78",78,"endometrium 1, smooth muscle",1,78,"78-Tissue enhanced: endometrium 1, smooth muscle","60%-40%","Deep"
"79",79,"esophagus",5,79,"79-Tissue enhanced: esophagus","60%-40%","Deep"
"80",80,"esophagus, liver, skin 1",1,80,"80-Tissue enhanced: esophagus, liver, skin 1","60%-40%","Deep"
"81",81,"esophagus, salivary gland, skin 1",1,81,"81-Tissue enhanced: esophagus, salivary gland, skin 1","60%-40%","Deep"
"82",82,"esophagus, salivary gland, skin 1, vagina",1,82,"82-Tissue enhanced: esophagus, salivary gland, skin 1, vagina","60%-40%","Deep"
"83",83,"esophagus, skin 1",1,83,"83-Tissue enhanced: esophagus, skin 1","60%-40%","Deep"
"84",84,"esophagus, skin 1, vagina",1,84,"84-Tissue enhanced: esophagus, skin 1, vagina","60%-40%","Deep"
"85",85,"esophagus, vagina",2,85,"85-Tissue enhanced: esophagus, vagina","60%-40%","Deep"
"86",86,"gallbladder",2,86,"86-Tissue enhanced: gallbladder","60%-40%","Deep"
"87",87,"gallbladder, intestine, kidney",1,87,"87-Tissue enhanced: gallbladder, intestine, kidney","60%-40%","Deep"
"88",88,"gallbladder, liver, placenta, urinary bladder",1,88,"88-Tissue enhanced: gallbladder, liver, placenta, urinary bladder","60%-40%","Deep"
"89",89,"gallbladder, pancreas",1,89,"89-Tissue enhanced: gallbladder, pancreas","60%-40%","Deep"
"90",90,"gallbladder, stomach 1, urinary bladder",1,90,"90-Tissue enhanced: gallbladder, stomach 1, urinary bladder","60%-40%","Deep"
"91",91,"gallbladder, urinary bladder",1,91,"91-Tissue enhanced: gallbladder, urinary bladder","60%-40%","Deep"
"92",92,"heart muscle, liver",1,92,"92-Tissue enhanced: heart muscle, liver","60%-40%","Deep"
"93",93,"heart muscle, skeletal muscle, tongue",1,93,"93-Tissue enhanced: heart muscle, skeletal muscle, tongue","60%-40%","Deep"
"94",94,"intestine",2,94,"94-Tissue enhanced: intestine","60%-40%","Deep"
"95",95,"intestine, kidney",1,95,"95-Tissue enhanced: intestine, kidney","60%-40%","Deep"
"96",96,"intestine, liver",1,96,"96-Tissue enhanced: intestine, liver","60%-40%","Deep"
"97",97,"intestine, lymphoid tissue",1,97,"97-Tissue enhanced: intestine, lymphoid tissue","60%-40%","Deep"
"98",98,"intestine, lymphoid tissue, stomach 1, urinary bladder",1,98,"98-Tissue enhanced: intestine, lymphoid tissue, stomach 1, urinary bladder","60%-40%","Deep"
"99",99,"intestine, pancreas, salivary gland, stomach 1",1,99,"99-Tissue enhanced: intestine, pancreas, salivary gland, stomach 1","60%-40%","Deep"
"100",100,"intestine, salivary gland",2,100,"100-Tissue enhanced: intestine, salivary gland","60%-40%","Deep"
"101",101,"intestine, urinary bladder",1,101,"101-Tissue enhanced: intestine, urinary bladder","60%-40%","Deep"
"102",102,"kidney",1,102,"102-Tissue enhanced: kidney","60%-40%","Deep"
"103",103,"kidney, liver",1,103,"103-Tissue enhanced: kidney, liver","60%-40%","Deep"
"104",104,"kidney, lymphoid tissue",1,104,"104-Tissue enhanced: kidney, lymphoid tissue","60%-40%","Deep"
"105",105,"kidney, placenta",1,105,"105-Tissue enhanced: kidney, placenta","60%-40%","Deep"
"106",106,"kidney, skin 1",1,106,"106-Tissue enhanced: kidney, skin 1","60%-40%","Deep"
"107",107,"kidney, thyroid gland",1,107,"107-Tissue enhanced: kidney, thyroid gland","60%-40%","Deep"
"108",108,"kidney, urinary bladder",1,108,"108-Tissue enhanced: kidney, urinary bladder","60%-40%","Deep"
"109",109,"liver",6,109,"109-Tissue enhanced: liver","60%-40%","Deep"
"110",110,"liver, lung, lymphoid tissue",1,110,"110-Tissue enhanced: liver, lung, lymphoid tissue","60%-40%","Deep"
"111",111,"liver, pancreas",1,111,"111-Tissue enhanced: liver, pancreas","60%-40%","Deep"
"112",112,"liver, placenta",1,112,"112-Tissue enhanced: liver, placenta","60%-40%","Deep"
"113",113,"lung",4,113,"113-Tissue enhanced: lung","60%-40%","Deep"
"114",114,"lung, lymphoid tissue",2,114,"114-Tissue enhanced: lung, lymphoid tissue","60%-40%","Deep"
"115",115,"lung, lymphoid tissue, skin 1",1,115,"115-Tissue enhanced: lung, lymphoid tissue, skin 1","60%-40%","Deep"
"116",116,"lymphoid tissue",29,116,"116-Tissue enhanced: lymphoid tissue","60%-40%","Deep"
"117",117,"lymphoid tissue, placenta",1,117,"117-Tissue enhanced: lymphoid tissue, placenta","60%-40%","Deep"
"118",118,"lymphoid tissue, smooth muscle",1,118,"118-Tissue enhanced: lymphoid tissue, smooth muscle","60%-40%","Deep"
"119",119,"ovary",1,119,"119-Tissue enhanced: ovary","60%-40%","Deep"
"120",120,"ovary, pancreas",1,120,"120-Tissue enhanced: ovary, pancreas","60%-40%","Deep"
"121",121,"ovary, pituitary gland",1,121,"121-Tissue enhanced: ovary, pituitary gland","60%-40%","Deep"
"122",122,"parathyroid gland",1,122,"122-Tissue enhanced: parathyroid gland","60%-40%","Deep"
"123",123,"placenta",7,123,"123-Tissue enhanced: placenta","60%-40%","Deep"
"124",124,"retina",2,124,"124-Tissue enhanced: retina","60%-40%","Deep"
"125",125,"salivary gland",1,125,"125-Tissue enhanced: salivary gland","60%-40%","Deep"
"126",126,"salivary gland, skin 1",1,126,"126-Tissue enhanced: salivary gland, skin 1","60%-40%","Deep"
"127",127,"skeletal muscle",3,127,"127-Tissue enhanced: skeletal muscle","60%-40%","Deep"
"128",128,"skeletal muscle, tongue",3,128,"128-Tissue enhanced: skeletal muscle, tongue","60%-40%","Deep"
"129",129,"skin 1",4,129,"129-Tissue enhanced: skin 1","60%-40%","Deep"
"130",130,"smooth muscle",1,130,"130-Tissue enhanced: smooth muscle","60%-40%","Deep"
"131",131,"testis",1,131,"131-Tissue enhanced: testis","60%-40%","Deep"
"132",132,"urinary bladder",2,132,"132-Tissue enhanced: urinary bladder","60%-40%","Deep"
"133",133,"adrenal gland",1,133,"133-Tissue enriched: adrenal gland","60%-40%","Deep"
"134",134,"bone marrow",6,134,"134-Tissue enriched: bone marrow","60%-40%","Deep"
"135",135,"brain",12,135,"135-Tissue enriched: brain","60%-40%","Deep"
"136",136,"epididymis",1,136,"136-Tissue enriched: epididymis","60%-40%","Deep"
"137",137,"esophagus",1,137,"137-Tissue enriched: esophagus","60%-40%","Deep"
"138",138,"heart muscle",1,138,"138-Tissue enriched: heart muscle","60%-40%","Deep"
"139",139,"intestine",4,139,"139-Tissue enriched: intestine","60%-40%","Deep"
"140",140,"kidney",2,140,"140-Tissue enriched: kidney","60%-40%","Deep"
"141",141,"liver",8,141,"141-Tissue enriched: liver","60%-40%","Deep"
"142",142,"lung",1,142,"142-Tissue enriched: lung","60%-40%","Deep"
"143",143,"lymphoid tissue",11,143,"143-Tissue enriched: lymphoid tissue","60%-40%","Deep"
"144",144,"pancreas",6,144,"144-Tissue enriched: pancreas","60%-40%","Deep"
"145",145,"parathyroid gland",1,145,"145-Tissue enriched: parathyroid gland","60%-40%","Deep"
"146",146,"pituitary gland",1,146,"146-Tissue enriched: pituitary gland","60%-40%","Deep"
"147",147,"placenta",3,147,"147-Tissue enriched: placenta","60%-40%","Deep"
"148",148,"retina",1,148,"148-Tissue enriched: retina","60%-40%","Deep"
"149",149,"salivary gland",2,149,"149-Tissue enriched: salivary gland","60%-40%","Deep"
"150",150,"skin 1",3,150,"150-Tissue enriched: skin 1","60%-40%","Deep"
"151",151,"stomach 1",1,151,"151-Tissue enriched: stomach 1","60%-40%","Deep"
"152",152,"testis",1,152,"152-Tissue enriched: testis","60%-40%","Deep"
"153",153,"urinary bladder",1,153,"153-Tissue enriched: urinary bladder","60%-40%","Deep"
"154",1,"Low tissue specificity",1,1,"1-Low tissue specificity","60%-40%","ClassifierChains"
"155",2,"Not detected",1,2,"2-Not detected","60%-40%","ClassifierChains"
"156",1,"adrenal gland, pituitary gland",1,1,"1-Group enriched: adrenal gland, pituitary gland","60%-40%","RakelD"
"157",2,"bone marrow, lung, lymphoid tissue",1,2,"2-Group enriched: bone marrow, lung, lymphoid tissue","60%-40%","RakelD"
"158",3,"brain, skeletal muscle",1,3,"3-Group enriched: brain, skeletal muscle","60%-40%","RakelD"
"159",4,"intestine, pancreas",1,4,"4-Group enriched: intestine, pancreas","60%-40%","RakelD"
"160",5,"lymphoid tissue, placenta",1,5,"5-Group enriched: lymphoid tissue, placenta","60%-40%","RakelD"
"161",6,"Low tissue specificity",17,6,"6-Low tissue specificity","60%-40%","RakelD"
"162",7,"adipose tissue",1,7,"7-Tissue enhanced: adipose tissue","60%-40%","RakelD"
"163",8,"adipose tissue, cervix",1,8,"8-Tissue enhanced: adipose tissue, cervix","60%-40%","RakelD"
"164",9,"adrenal gland, brain, choroid plexus",1,9,"9-Tissue enhanced: adrenal gland, brain, choroid plexus","60%-40%","RakelD"
"165",10,"bone marrow, lymphoid tissue",1,10,"10-Tissue enhanced: bone marrow, lymphoid tissue","60%-40%","RakelD"
"166",11,"brain, lung, lymphoid tissue",1,11,"11-Tissue enhanced: brain, lung, lymphoid tissue","60%-40%","RakelD"
"167",12,"brain, ovary",1,12,"12-Tissue enhanced: brain, ovary","60%-40%","RakelD"
"168",13,"brain, parathyroid gland",1,13,"13-Tissue enhanced: brain, parathyroid gland","60%-40%","RakelD"
"169",14,"brain, retina",1,14,"14-Tissue enhanced: brain, retina","60%-40%","RakelD"
"170",15,"brain, seminal vesicle",1,15,"15-Tissue enhanced: brain, seminal vesicle","60%-40%","RakelD"
"171",16,"endometrium 1, seminal vesicle, smooth muscle",1,16,"16-Tissue enhanced: endometrium 1, seminal vesicle, smooth muscle","60%-40%","RakelD"
"172",17,"esophagus, skin 1",1,17,"17-Tissue enhanced: esophagus, skin 1","60%-40%","RakelD"
"173",18,"heart muscle",1,18,"18-Tissue enhanced: heart muscle","60%-40%","RakelD"
"174",19,"intestine, lymphoid tissue, stomach 1, urinary bladder",1,19,"19-Tissue enhanced: intestine, lymphoid tissue, stomach 1, urinary bladder","60%-40%","RakelD"
"175",20,"intestine, urinary bladder",1,20,"20-Tissue enhanced: intestine, urinary bladder","60%-40%","RakelD"
"176",21,"kidney",1,21,"21-Tissue enhanced: kidney","60%-40%","RakelD"
"177",22,"kidney, thyroid gland",1,22,"22-Tissue enhanced: kidney, thyroid gland","60%-40%","RakelD"
"178",23,"liver",1,23,"23-Tissue enhanced: liver","60%-40%","RakelD"
"179",24,"lung, lymphoid tissue",1,24,"24-Tissue enhanced: lung, lymphoid tissue","60%-40%","RakelD"
"180",25,"lymphoid tissue",2,25,"25-Tissue enhanced: lymphoid tissue","60%-40%","RakelD"
"181",26,"placenta",3,26,"26-Tissue enhanced: placenta","60%-40%","RakelD"
"182",27,"retina, thyroid gland",1,27,"27-Tissue enhanced: retina, thyroid gland","60%-40%","RakelD"
"183",28,"salivary gland",1,28,"28-Tissue enhanced: salivary gland","60%-40%","RakelD"
"184",29,"skeletal muscle",1,29,"29-Tissue enhanced: skeletal muscle","60%-40%","RakelD"
"185",30,"skeletal muscle, tongue",1,30,"30-Tissue enhanced: skeletal muscle, tongue","60%-40%","RakelD"
"186",31,"smooth muscle, urinary bladder",1,31,"31-Tissue enhanced: smooth muscle, urinary bladder","60%-40%","RakelD"
"187",32,"urinary bladder",1,32,"32-Tissue enhanced: urinary bladder","60%-40%","RakelD"
"188",33,"brain",2,33,"33-Tissue enriched: brain","60%-40%","RakelD"
"189",34,"endometrium 1",1,34,"34-Tissue enriched: endometrium 1","60%-40%","RakelD"
"190",35,"intestine",1,35,"35-Tissue enriched: intestine","60%-40%","RakelD"
"191",36,"lymphoid tissue",2,36,"36-Tissue enriched: lymphoid tissue","60%-40%","RakelD"
"192",37,"pancreas",1,37,"37-Tissue enriched: pancreas","60%-40%","RakelD"
"193",38,"parathyroid gland",1,38,"38-Tissue enriched: parathyroid gland","60%-40%","RakelD"
"194",39,"retina",1,39,"39-Tissue enriched: retina","60%-40%","RakelD"
"195",1,"Low tissue specificity",1,1,"1-Low tissue specificity","60%-40%","HARAM"
"196",2,"Not detected",1,2,"2-Not detected","60%-40%","HARAM"
"197",3,"endometrium 1, smooth muscle",1,3,"3-Tissue enhanced: endometrium 1, smooth muscle","60%-40%","HARAM"
"198",1,"bone marrow, lung, lymphoid tissue",2,1,"1-Group enriched: bone marrow, lung, lymphoid tissue","60%-40%","SVM"
"199",2,"fallopian tube, lung",1,2,"2-Group enriched: fallopian tube, lung","60%-40%","SVM"
"200",3,"intestine, lymphoid tissue",1,3,"3-Group enriched: intestine, lymphoid tissue","60%-40%","SVM"
"201",4,"kidney, liver",1,4,"4-Group enriched: kidney, liver","60%-40%","SVM"
"202",5,"Low tissue specificity",13,5,"5-Low tissue specificity","60%-40%","SVM"
"203",6,"adipose tissue, cervix",1,6,"6-Tissue enhanced: adipose tissue, cervix","60%-40%","SVM"
"204",7,"bone marrow",1,7,"7-Tissue enhanced: bone marrow","60%-40%","SVM"
"205",8,"bone marrow, lymphoid tissue",1,8,"8-Tissue enhanced: bone marrow, lymphoid tissue","60%-40%","SVM"
"206",9,"bone marrow, urinary bladder",1,9,"9-Tissue enhanced: bone marrow, urinary bladder","60%-40%","SVM"
"207",10,"brain, gallbladder, kidney, placenta",1,10,"10-Tissue enhanced: brain, gallbladder, kidney, placenta","60%-40%","SVM"
"208",11,"brain, salivary gland",1,11,"11-Tissue enhanced: brain, salivary gland","60%-40%","SVM"
"209",12,"brain, skeletal muscle, tongue",1,12,"12-Tissue enhanced: brain, skeletal muscle, tongue","60%-40%","SVM"
"210",13,"cervix, placenta, urinary bladder",1,13,"13-Tissue enhanced: cervix, placenta, urinary bladder","60%-40%","SVM"
"211",14,"endometrium 1",1,14,"14-Tissue enhanced: endometrium 1","60%-40%","SVM"
"212",15,"esophagus",1,15,"15-Tissue enhanced: esophagus","60%-40%","SVM"
"213",16,"intestine, lymphoid tissue, stomach 1, urinary bladder",1,16,"16-Tissue enhanced: intestine, lymphoid tissue, stomach 1, urinary bladder","60%-40%","SVM"
"214",17,"intestine, urinary bladder",1,17,"17-Tissue enhanced: intestine, urinary bladder","60%-40%","SVM"
"215",18,"kidney, skin 1",1,18,"18-Tissue enhanced: kidney, skin 1","60%-40%","SVM"
"216",19,"liver",1,19,"19-Tissue enhanced: liver","60%-40%","SVM"
"217",20,"lung",1,20,"20-Tissue enhanced: lung","60%-40%","SVM"
"218",21,"lymphoid tissue",5,21,"21-Tissue enhanced: lymphoid tissue","60%-40%","SVM"
"219",22,"placenta",2,22,"22-Tissue enhanced: placenta","60%-40%","SVM"
"220",23,"skeletal muscle, tongue",1,23,"23-Tissue enhanced: skeletal muscle, tongue","60%-40%","SVM"
"221",24,"adrenal gland",1,24,"24-Tissue enriched: adrenal gland","60%-40%","SVM"
"222",25,"brain",3,25,"25-Tissue enriched: brain","60%-40%","SVM"
"223",26,"intestine",1,26,"26-Tissue enriched: intestine","60%-40%","SVM"
"224",27,"liver",3,27,"27-Tissue enriched: liver","60%-40%","SVM"
"225",28,"lymphoid tissue",2,28,"28-Tissue enriched: lymphoid tissue","60%-40%","SVM"
"226",29,"pancreas",4,29,"29-Tissue enriched: pancreas","60%-40%","SVM"
"227",30,"stomach 1",1,30,"30-Tissue enriched: stomach 1","60%-40%","SVM"
"228",1,"adipose tissue, brain, ovary",1,1,"1-Group enriched: adipose tissue, brain, ovary","70%-30%","Deep"
"229",2,"bone marrow, brain, lymphoid tissue, thyroid gland",1,2,"2-Group enriched: bone marrow, brain, lymphoid tissue, thyroid gland","70%-30%","Deep"
"230",3,"bone marrow, lung, lymphoid tissue",3,3,"3-Group enriched: bone marrow, lung, lymphoid tissue","70%-30%","Deep"
"231",4,"bone marrow, lymphoid tissue",1,4,"4-Group enriched: bone marrow, lymphoid tissue","70%-30%","Deep"
"232",5,"bone marrow, skeletal muscle",1,5,"5-Group enriched: bone marrow, skeletal muscle","70%-30%","Deep"
"233",6,"brain, choroid plexus",1,6,"6-Group enriched: brain, choroid plexus","70%-30%","Deep"
"234",7,"brain, epididymis",1,7,"7-Group enriched: brain, epididymis","70%-30%","Deep"
"235",8,"heart muscle, skeletal muscle, tongue",1,8,"8-Group enriched: heart muscle, skeletal muscle, tongue","70%-30%","Deep"
"236",9,"intestine, kidney, retina",1,9,"9-Group enriched: intestine, kidney, retina","70%-30%","Deep"
"237",10,"intestine, liver, salivary gland",1,10,"10-Group enriched: intestine, liver, salivary gland","70%-30%","Deep"
"238",11,"kidney, liver",1,11,"11-Group enriched: kidney, liver","70%-30%","Deep"
"239",12,"lymphoid tissue, testis",1,12,"12-Group enriched: lymphoid tissue, testis","70%-30%","Deep"
"240",13,"Low tissue specificity",66,13,"13-Low tissue specificity","70%-30%","Deep"
"241",14,"adipose tissue",1,14,"14-Tissue enhanced: adipose tissue","70%-30%","Deep"
"242",15,"adipose tissue, brain",1,15,"15-Tissue enhanced: adipose tissue, brain","70%-30%","Deep"
"243",16,"adipose tissue, cervix",1,16,"16-Tissue enhanced: adipose tissue, cervix","70%-30%","Deep"
"244",17,"adipose tissue, heart muscle",1,17,"17-Tissue enhanced: adipose tissue, heart muscle","70%-30%","Deep"
"245",18,"adipose tissue, seminal vesicle",1,18,"18-Tissue enhanced: adipose tissue, seminal vesicle","70%-30%","Deep"
"246",19,"adrenal gland, brain",1,19,"19-Tissue enhanced: adrenal gland, brain","70%-30%","Deep"
"247",20,"bone marrow",3,20,"20-Tissue enhanced: bone marrow","70%-30%","Deep"
"248",21,"bone marrow, intestine, salivary gland",1,21,"21-Tissue enhanced: bone marrow, intestine, salivary gland","70%-30%","Deep"
"249",22,"bone marrow, lymphoid tissue",5,22,"22-Tissue enhanced: bone marrow, lymphoid tissue","70%-30%","Deep"
"250",23,"bone marrow, lymphoid tissue, testis",1,23,"23-Tissue enhanced: bone marrow, lymphoid tissue, testis","70%-30%","Deep"
"251",24,"bone marrow, stomach 1, urinary bladder",1,24,"24-Tissue enhanced: bone marrow, stomach 1, urinary bladder","70%-30%","Deep"
"252",25,"brain",6,25,"25-Tissue enhanced: brain","70%-30%","Deep"
"253",26,"brain, choroid plexus",1,26,"26-Tissue enhanced: brain, choroid plexus","70%-30%","Deep"
"254",27,"brain, choroid plexus, lung",1,27,"27-Tissue enhanced: brain, choroid plexus, lung","70%-30%","Deep"
"255",28,"brain, fallopian tube, lung, seminal vesicle",1,28,"28-Tissue enhanced: brain, fallopian tube, lung, seminal vesicle","70%-30%","Deep"
"256",29,"brain, liver",1,29,"29-Tissue enhanced: brain, liver","70%-30%","Deep"
"257",30,"brain, lung, lymphoid tissue",1,30,"30-Tissue enhanced: brain, lung, lymphoid tissue","70%-30%","Deep"
"258",31,"brain, ovary",1,31,"31-Tissue enhanced: brain, ovary","70%-30%","Deep"
